1	14,71847%	14,71847%
2	11,66442%	26,38289%
3	7,72450%	34,10739%
4	7,35994%	41,46733%
5	8,33698%	49,80431%
6	8,69089%	58,49519%
7	7,22137%	65,71657%
8	6,88869%	72,60525%
9	7,42886%	80,03411%
10	6,00615%	86,04026%
11	4,73378%	90,77404%
12	3,17979%	93,95382%
13	2,53187%	96,48570%
14	1,19538%	97,68108%
15	1,29747%	98,97855%
16	0,63570%	99,61425%
17	0,17095%	99,78520%
18	0,10070%	99,88589%
19	0,05408%	99,93998%
20	0,04650%	99,98648%
21	0,00714%	99,99362%
22	0,00345%	99,99707%
23	0,00160%	99,99867%
24	0,00042%	99,99909%
25	0,00042%	99,99951%
26	0,00012%	99,99964%
27	0,00010%	99,99974%
28	0,00004%	99,99978%
29	0,00003%	99,99981%
30	0,00004%	99,99985%
31	0,00001%	99,99986%
32	0,00004%	99,99990%
33	0,00002%	99,99992%
34	0,00001%	99,99992%
35	0,00001%	99,99993%
36	0,00001%	99,99994%
37	0,00000%	99,99994%
38	0,00000%	99,99994%
39	0,00000%	99,99994%
40	0,00000%	99,99994%
41	0,00000%	99,99995%
42	0,00000%	99,99995%
43	0,00001%	99,99995%
44	0,00000%	99,99996%
45	0,00000%	99,99996%
46	0,00000%	99,99996%
47	0,00000%	99,99996%
48	0,00000%	99,99996%
49	0,00000%	99,99996%
50	0,00000%	99,99996%
51	0,00000%	99,99996%
52	0,00000%	99,99996%
53	0,00000%	99,99996%
54	0,00000%	99,99996%
55	0,00000%	99,99996%
56	0,00000%	99,99996%
57	0,00000%	99,99996%
58	0,00000%	99,99996%
59	0,00000%	99,99997%
60	0,00000%	99,99997%
61	0,00000%	99,99997%
62	0,00000%	99,99997%
63	0,00000%	99,99997%
64	0,00003%	100,00000%
