1	0,01013%	0,01013%
2	0,41115%	0,42128%
3	3,25929%	3,68057%
4	6,57570%	10,25627%
5	14,63560%	24,89187%
6	16,49810%	41,38997%
7	17,47299%	58,86297%
8	10,48809%	69,35106%
9	8,23410%	77,58516%
10	5,70189%	83,28705%
11	3,59414%	86,88119%
12	2,79723%	89,67842%
13	3,87296%	93,55138%
14	1,61591%	95,16729%
15	1,16594%	96,33323%
16	0,85392%	97,18714%
17	0,59414%	97,78128%
18	0,43532%	98,21660%
19	0,28944%	98,50604%
20	1,07646%	99,58250%
21	0,13038%	99,71288%
22	0,09278%	99,80566%
23	0,06067%	99,86633%
24	0,04236%	99,90869%
25	0,02649%	99,93518%
26	0,01721%	99,95239%
27	0,01416%	99,96655%
28	0,00623%	99,97278%
29	0,00574%	99,97851%
30	0,00427%	99,98279%
31	0,00232%	99,98511%
32	0,00208%	99,98718%
33	0,00183%	99,98901%
34	0,00073%	99,98975%
35	0,00073%	99,99048%
36	0,00098%	99,99145%
37	0,00024%	99,99170%
38	0,00012%	99,99182%
39	0,00012%	99,99194%
40	0,00012%	99,99207%
41	0,00024%	99,99231%
42	0,00000%	99,99231%
43	0,00195%	99,99426%
44	0,00024%	99,99451%
45	0,00012%	99,99463%
46	0,00012%	99,99475%
47	0,00000%	99,99475%
48	0,00000%	99,99475%
49	0,00012%	99,99487%
50	0,00012%	99,99499%
51	0,00000%	99,99499%
52	0,00000%	99,99499%
53	0,00012%	99,99512%
54	0,00012%	99,99524%
55	0,00000%	99,99524%
56	0,00012%	99,99536%
57	0,00000%	99,99536%
58	0,00000%	99,99536%
59	0,00012%	99,99548%
60	0,00012%	99,99561%
61	0,00000%	99,99561%
62	0,00012%	99,99573%
63	0,00000%	99,99573%
64	0,00427%	100,00000%
